[2026-06-16 11:15:07,250] INFO django.request.custom - [401] GET /api/notifications/ | user=anonymous | 0.4ms
[2026-06-16 11:15:08,170] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 1.57ms
[2026-06-16 11:28:00,493] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 493.3ms
[2026-06-16 11:28:01,477] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 494.41ms
[2026-06-16 11:28:01,948] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.78ms
[2026-06-16 11:28:02,942] INFO django.request.custom - [201] POST /api/auth/register/ | user=anonymous | 512.13ms
[2026-06-16 11:28:08,951] INFO django.request.custom - [200] GET /api/approvals/requests/ | user=anonymous | 1.61ms
[2026-06-16 11:28:10,029] INFO django.request.custom - [201] POST /api/approvals/requests/ | user=anonymous | 10.6ms
[2026-06-16 11:28:11,047] INFO django.request.custom - [401] GET /api/approvals/requests/ | user=anonymous | 0.84ms
[2026-06-16 11:28:36,048] INFO django.request.custom - [401] GET /api/notifications/ | user=anonymous | 0.58ms
[2026-06-16 11:28:38,466] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 3.18ms
[2026-06-16 11:30:04,304] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 462.02ms
[2026-06-16 11:30:05,347] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 549.11ms
[2026-06-16 11:30:05,824] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.53ms
[2026-06-16 11:30:06,817] INFO django.request.custom - [201] POST /api/auth/register/ | user=anonymous | 503.83ms
[2026-06-16 11:30:12,794] INFO django.request.custom - [200] GET /api/approvals/requests/ | user=anonymous | 1.34ms
[2026-06-16 11:30:13,717] INFO django.request.custom - [201] POST /api/approvals/requests/ | user=anonymous | 5.7ms
[2026-06-16 11:30:14,656] INFO django.request.custom - [401] GET /api/approvals/requests/ | user=anonymous | 0.29ms
[2026-06-16 11:30:24,271] INFO django.request.custom - [401] GET /api/notifications/ | user=anonymous | 0.33ms
[2026-06-16 11:30:25,189] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 1.48ms
[2026-06-17 09:41:43,460] INFO django.request.custom - [401] POST /api/v1/auth/login/ | user=anonymous | 907.94ms
[2026-06-17 09:41:44,319] INFO django.request.custom - [401] POST /api/v1/auth/login/ | user=anonymous | 836.57ms
